time,theta,theta_error,omega,torque
3.85,1.4428065952432645,1.4428065952432645,-5.3555052060866934,5.0
3.9000000000000004,1.1935606643240133,1.1935606643240133,-4.619722469016767,5.0
3.95,0.9801184189994316,0.9801184189994316,-3.926370388403881,5.0
4.0,0.8000091751356191,0.8000091751356191,-3.287535592695552,5.0
4.05,0.6504081527678398,0.6504081527678398,-2.705909836005076,5.0
4.1000000000000005,0.5285180844521977,0.5285180844521977,-2.1782090440184643,5.0
4.15,0.4317994314005098,0.4317994314005098,-1.69776423135936,0.0
4.2,0.3518368727055705,0.3518368727055705,-1.5068709457805067,5.0
4.25,0.2867843161286201,0.2867843161286201,-1.1004627455940639,0.0
4.3,0.23508624941761447,0.23508624941761447,-0.9716058389341982,-5.0
4.3500000000000005,0.18297553026364666,0.18297553026364666,-1.1169362729519037,5.0
4.4,0.13546502948845207,0.13546502948845207,-0.7874666491403275,5.0
4.45,0.10389693054308236,0.10389693054308236,-0.47795675923372954,5.0
4.5,0.0874626336229527,0.0874626336229527,-0.18088197679301182,0.0
4.55,0.07946547609584886,0.07946547609584886,-0.1396747423399875,0.0
4.6000000000000005,0.07343663025058289,0.07343663025058289,-0.10198760564384415,0.0
4.65,0.06922364774168122,0.06922364774168122,-0.06689091601034852,-5.0
4.7,0.060461317438017304,0.060461317438017304,-0.2842258448929979,0.0
4.75,0.04695170287318806,0.04695170287318806,-0.2572753299834923,0.0
4.800000000000001,0.03462776779129628,0.03462776779129628,-0.23669957475022602,0.0
4.8500000000000005,0.02318433162668443,0.02318433162668443,-0.22198119412033707,0.0
4.9,0.012338449533393803,0.012338449533393803,-0.21274637325830745,0.0
4.95,0.0018224724424595884,0.0018224724424595884,-0.20875584950979126,0.0
5.0,-0.008622519625258285,-0.008622519625258285,-0.2098989831518059,0.0
5.050000000000001,-0.01925306309727448,-0.01925306309727448,-0.21619082860191727,0.0
5.1000000000000005,-0.030329583763469614,-0.030329583763469614,-0.22777215253511218,0.0
5.15,-0.042122743893349135,-0.042122743893349135,-0.24491238479125388,0.0
5.2,-0.05492001063996943,-0.05492001063996943,-0.26801552560030595,0.0
5.25,-0.06903259477102441,-0.06903259477102441,-0.29762906181529974,0.0
5.300000000000001,-0.08480291179536525,-0.08480291179536525,-0.3344559567514025,5.0
5.3500000000000005,-0.09635520628030836,-0.09635520628030836,-0.12866609130424908,0.0
5.4,-0.1039877580496662,-0.1039877580496662,-0.17723736664674694,0.0
5.45,-0.11414891100112712,-0.11414891100112712,-0.23001366889536157,0.0
5.5,-0.1270802436114109,-0.1270802436114109,-0.28826638938036836,0.0
5.550000000000001,-0.14308988414159174,-0.14308988414159174,-0.3533909614707064,5.0
5.6000000000000005,-0.15630202588418873,-0.15630202588418873,-0.17624046195194829,5.0
5.65,-0.16079228124218403,-0.16079228124218403,-0.0038065148302819096,5.0
5.7,-0.15669128701899515,-0.15669128701899515,0.16810467643492744,5.0
5.75,-0.14392107104765373,-0.14392107104765373,0.34366337871877106,-5.0
5.800000000000001,-0.134708187500161,-0.134708187500161,0.025734972108914955,0.0
5.8500000000000005,-0.13506667203537992,-0.13506667203537992,-0.04007537880025043,0.0
5.9,-0.13872923542261573,-0.13872923542261573,-0.10669595886837598,0.0
5.95,-0.14577667026352703,-0.14577667026352703,-0.17574345725293036,0.0
6.0,-0.1563717265819191,-0.1563717265819191,-0.24888562591519842,5.0
6.050000000000001,-0.1645051860553468,-0.1645051860553468,-0.07718369729673655,5.0
6.1000000000000005,-0.16412823084832695,-0.16412823084832695,0.09222011611584974,5.0
6.15,-0.15525297786454217,-0.15525297786454217,0.2634347582304743,5.0
6.2,-0.1376855138570532,-0.1376855138570532,0.4406118807541522,-5.0
6.25,-0.1235357941985491,-0.1235357941985491,0.12666007553048536,-5.0
6.300000000000001,-0.12495532545413202,-0.12495532545413202,-0.18342442653417318,0.0
6.3500000000000005,-0.13568233477157898,-0.13568233477157898,-0.24650031579797954,0.0
6.4,-0.1497024675916485,-0.1497024675916485,-0.31541241378840346,5.0
6.45,-0.1610906488672441,-0.1610906488672441,-0.14111082338910458,5.0
6.5,-0.1638775720782828,-0.1638775720782828,0.02933590757368107,5.0
6.550000000000001,-0.15815223464125072,-0.15815223464125072,0.20006770483611488,5.0
6.6000000000000005,-0.14379713876676226,-0.14379713876676226,0.3752239628363442,-5.0
6.65,-0.13300030824621967,-0.13300030824621967,0.05766071923515809,0.0
6.7,-0.13173725874193476,-0.13173725874193476,-0.007008589980778954,0.0
6.75,-0.1337013501427311,-0.1337013501427311,-0.07168695353902656,0.0
6.800000000000001,-0.13893230261260792,-0.13893230261260792,-0.13794741142778505,0.0
6.8500000000000005,-0.147549141315384,-0.147549141315384,-0.20739515133878555,0.0
6.9,-0.1597527079251524,-0.1597527079251524,-0.2817037165468298,5.0
6.95,-0.16957259820592663,-0.16957259820592663,-0.1119578230030728,5.0
7.0,-0.17100051297895247,-0.17100051297895247,0.054654894761105494,5.0
7.050000000000001,-0.16409195519710584,-0.16409195519710584,0.22217397102831812,5.0
7.1000000000000005,-0.14870049422039422,-0.14870049422039422,0.39465632378237314,-5.0
